,Date,temp ©,rain (cm)
324,11/21/2015,27,0.2
325,11/22/2015,28,0
326,11/23/2015,27,0
327,11/24/2015,27,0
328,11/25/2015,27,0.1
329,11/26/2015,27,0
330,11/27/2015,27,0
331,11/28/2015,27,0
332,11/29/2015,27,0
333,11/30/2015,24,3.8
334,12/1/2015,25,1.7
335,12/2/2015,24,1.3
336,12/3/2015,28,0
337,12/4/2015,28,0
338,12/5/2015,27,0
339,12/6/2015,27,0
340,12/7/2015,27,0
341,12/8/2015,26,0
342,12/9/2015,26,0
343,12/10/2015,26,0
344,12/11/2015,27,0
345,12/12/2015,28,0
346,12/13/2015,27,0
347,12/14/2015,27,0
348,12/15/2015,26,0
349,12/16/2015,27,0
350,12/17/2015,27,0
351,12/18/2015,25,0
352,12/19/2015,25,0
353,12/20/2015,25,0
354,12/21/2015,27,0
355,12/22/2015,28,0
356,12/23/2015,27,0
357,12/24/2015,28,0
358,12/25/2015,27,0.2
359,12/26/2015,24,0
360,12/27/2015,25,0
361,12/28/2015,26,0
362,12/29/2015,25,0
363,12/30/2015,27,0
364,12/31/2015,27,0
365,1/1/2016,27,0
366,1/2/2016,27,0
367,1/3/2016,27,0
368,1/4/2016,26,0.1
369,1/5/2016,27,0
370,1/6/2016,27,0
371,1/7/2016,26,0
372,1/8/2016,26,0
373,1/9/2016,27,0
374,1/10/2016,26,0
375,1/11/2016,27,0
376,1/12/2016,27,0
377,1/13/2016,26,0
378,1/14/2016,26,0
379,1/15/2016,26,0
380,1/16/2016,26,0
381,1/17/2016,26,0
382,1/18/2016,26,0
383,1/19/2016,27,0.3
384,1/20/2016,23,0.2
385,1/21/2016,26,1.3
386,1/22/2016,25,1.5
387,1/23/2016,26,0
388,1/24/2016,26,0.1
389,1/25/2016,26,0.1
390,1/26/2016,27,0.1
391,1/27/2016,27,0
392,1/28/2016,28,0
393,1/29/2016,28,0
394,1/30/2016,29,0
395,1/31/2016,30,0
396,2/1/2016,29,0
397,2/2/2016,29,0
398,2/3/2016,28,0
399,2/4/2016,29,0
400,2/5/2016,28,0
401,2/6/2016,28,0
402,2/7/2016,28,0
403,2/8/2016,29,0
404,2/9/2016,29,0
405,2/10/2016,29,0
406,2/11/2016,29,0
407,2/12/2016,29,0
408,2/13/2016,29,0
409,2/14/2016,29,0
410,2/15/2016,29,0
411,2/16/2016,29,0
412,2/17/2016,28,0
413,2/18/2016,29,0
414,2/19/2016,29,0
415,2/20/2016,31,0
416,2/21/2016,31,0
417,2/22/2016,31,0
418,2/23/2016,30,0
419,2/24/2016,29,0
420,2/25/2016,30,0
421,2/26/2016,29,0.1
422,2/27/2016,30,0
423,2/28/2016,30,0
424,2/29/2016,30,0
425,3/1/2016,31,0.1
426,3/2/2016,31,0
427,3/3/2016,31,0
428,3/4/2016,31,0
429,3/5/2016,31,0
430,3/6/2016,30,0
431,3/7/2016,30,0
432,3/8/2016,30,0
433,3/9/2016,31,0
434,3/10/2016,31,0
435,3/11/2016,31,0
436,3/12/2016,31,0
437,3/13/2016,32,0
438,3/14/2016,32,0
439,3/15/2016,31,0
440,3/16/2016,32,0.6
441,3/17/2016,32,0
442,3/18/2016,32,0
443,3/19/2016,33,0
444,3/20/2016,35,0
445,3/21/2016,36,0
446,3/22/2016,36,0
447,3/23/2016,35,0
448,3/24/2016,33,0
449,3/25/2016,32,0
450,3/26/2016,32,0
451,3/27/2016,32,0
452,3/28/2016,31,0
453,3/29/2016,32,0
454,3/30/2016,32,0
455,3/31/2016,33,0
456,4/1/2016,33,0
457,4/2/2016,33,0
458,4/3/2016,33,0
459,4/4/2016,34,0
460,4/5/2016,34,0
461,4/6/2016,34,0
462,4/7/2016,34,0
463,4/8/2016,33,0
464,4/9/2016,33,0
465,4/10/2016,34,0
466,4/11/2016,34,0
467,4/12/2016,34,0
468,4/13/2016,34,0
469,4/14/2016,34,0
470,4/15/2016,34,0
471,4/16/2016,35,1
472,4/17/2016,35,0.2
473,4/18/2016,36,0
474,4/19/2016,36,0
475,4/20/2016,36,0
476,4/21/2016,37,0
477,4/22/2016,38,0
478,4/23/2016,40,0
479,4/24/2016,39,0
480,4/25/2016,37,0
481,4/26/2016,35,0
482,4/27/2016,34,0
483,4/28/2016,36,0
484,4/29/2016,37,0
485,4/30/2016,37,0
486,5/1/2016,37,0
487,5/2/2016,38,0
488,5/3/2016,36,0
489,5/5/2016,35,3
490,5/6/2016,35,0
491,5/7/2016,35,0
492,5/9/2016,35,0
493,5/10/2016,35,0
494,5/11/2016,35,0
495,5/12/2016,36,0
496,5/15/2016,34,0
497,5/17/2016,34,0.9
498,5/18/2016,28,48.1
499,5/19/2016,38,8.1
500,5/21/2016,37,1.8
501,5/22/2016,38,0
502,5/25/2016,40,0.2
503,5/26/2016,40,0
504,5/27/2016,36,0
505,5/28/2016,32,1.3
506,5/29/2016,36,12
507,5/30/2016,36,0.8
508,6/1/2016,39,2.1
509,6/2/2016,36,1.3
510,6/3/2016,37,0.9
511,6/4/2016,34,1.6
512,6/5/2016,35,0.9
513,6/6/2016,34,6.7
514,6/7/2016,32,1.5
515,6/8/2016,32,4.7
516,6/10/2016,35,0
517,6/11/2016,35,0
518,6/12/2016,36,0.1
